ticker,title,description,content,source,published_at,url,category,combined_text,content_sentiment,content_ner,content_summary,sentiment_label,sentiment_score,sentiment_confidence,sentiment_prob_positive,sentiment_prob_negative,sentiment_prob_neutral,entities,entity_orgs,summary
AAPL,Truly Unique AI Powerhouse Etches Buy Zone. Now Comes This Test.,ASML is the sole provider of EUV lithography machines vital to advanced AI chips from Nvidia and more. ASML stock is testing a breakout to a record high.,ASML is the sole provider of EUV lithography machines vital to advanced AI chips from Nvidia and more. ASML stock is testing a breakout to a record high.,Yahoo,2026-05-13 11:25:34+00:00,https://finnhub.io/api/news?id=f8d2d6602688f3d5346ebcd6214debe885e97bf85b595e20be327d2ddbe25317,company,Truly Unique AI Powerhouse Etches Buy Zone. Now Comes This Test.. Truly Unique AI Powerhouse Etches Buy Zone. Now Comes This Test.. ASML is the sole provider of EUV lithography machines vital to advanced AI chips from Nvidia and more. ASML stock is testing a breakout to a record high.,Truly Unique AI Powerhouse Etches Buy Zone. Now Comes This Test.. Truly Unique AI Powerhouse Etches Buy Zone. Now Comes This Test.. ASML is the sole provider of EUV lithography machines vital to advanced AI chips from Nvidia and more. ASML stock is testing a breakout to a record high.,Truly Unique AI Powerhouse Etches Buy Zone. Now Comes This Test.. Truly Unique AI Powerhouse Etches Buy Zone. Now Comes This Test.. ASML is the sole provider of EUV lithography machines vital to advanced AI chips from Nvidia and more. ASML stock is testing a breakout to a record high.,ASML is the sole provider of EUV lithography machines vital to advanced AI chips from Nvidia and more. ASML stock is testing a breakout to a record high.,positive,0.8482,0.8575,0.8575,0.0093,0.1332,"[{'text': 'Truly Unique AI Powerhouse', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 66, 'end': 92}, {'text': 'ASML', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 132, 'end': 136}, {'text': 'EUV', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 161, 'end': 164}, {'text': 'AI', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 204, 'end': 206}, {'text': 'Nvidia', 'label': 'GPE', 'label_desc': 'Country / City', 'start': 218, 'end': 224}]","Truly Unique AI Powerhouse, ASML, EUV, AI",
AAPL,Tesla CEO Is Heading to China. What Musk Hopes to Accomplish.,"President Trump is trying to drum up business for Tesla, and other American companies, in China this week.","President Trump is trying to drum up business for Tesla, and other American companies, in China this week.",Yahoo,2026-05-13 11:11:00+00:00,https://finnhub.io/api/news?id=df2e9b40b61fd6239b46298dac87672a2626eb998cbc84ee8b87dfec99cb33bb,company,"Tesla CEO Is Heading to China. What Musk Hopes to Accomplish.. Tesla CEO Is Heading to China. What Musk Hopes to Accomplish.. President Trump is trying to drum up business for Tesla, and other American companies, in China this week.","Tesla CEO Is Heading to China. What Musk Hopes to Accomplish.. Tesla CEO Is Heading to China. What Musk Hopes to Accomplish.. President Trump is trying to drum up business for Tesla, and other American companies, in China this week.","Tesla CEO Is Heading to China. What Musk Hopes to Accomplish.. Tesla CEO Is Heading to China. What Musk Hopes to Accomplish.. President Trump is trying to drum up business for Tesla, and other American companies, in China this week.","President Trump is trying to drum up business for Tesla, and other American companies, in China this week.",neutral,0.2752,0.6908,0.2922,0.017,0.6908,"[{'text': 'China', 'label': 'GPE', 'label_desc': 'Country / City', 'start': 24, 'end': 29}, {'text': 'Musk Hopes', 'label': 'PERSON', 'label_desc': 'Person', 'start': 36, 'end': 46}, {'text': 'Tesla', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 63, 'end': 68}, {'text': 'Trump', 'label': 'PERSON', 'label_desc': 'Person', 'start': 136, 'end': 141}, {'text': 'this week', 'label': 'DATE', 'label_desc': 'Date / Period', 'start': 222, 'end': 231}]",Tesla,
AAPL,What the Elite Group of CEOs Joining Trump in China Says About the U.S. Economy,"President Donald Trump has put together an exclusive group of CEOs, representing the best the U.S. has to offer, to join his key summit with Chinas Xi Jinping.","President Donald Trump has put together an exclusive group of CEOs, representing the best the U.S. has to offer, to join his key summit with Chinas Xi Jinping.",Yahoo,2026-05-13 10:45:00+00:00,https://finnhub.io/api/news?id=3661f0c293c7da2a699731db4a99c4f5e38f167bb4ba87bfdd8810a54ea99842,company,"What the Elite Group of CEOs Joining Trump in China Says About the U.S. Economy. What the Elite Group of CEOs Joining Trump in China Says About the U.S. Economy. President Donald Trump has put together an exclusive group of CEOs, representing the best the U.S. has to offer, to join his key summit with Chinas Xi Jinping.","What the Elite Group of CEOs Joining Trump in China Says About the U.S. Economy. What the Elite Group of CEOs Joining Trump in China Says About the U.S. Economy. President Donald Trump has put together an exclusive group of CEOs, representing the best the U.S. has to offer, to join his key summit with Chinas Xi Jinping.","What the Elite Group of CEOs Joining Trump in China Says About the U.S. Economy. What the Elite Group of CEOs Joining Trump in China Says About the U.S. Economy. President Donald Trump has put together an exclusive group of CEOs, representing the best the U.S. has to offer, to join his key summit with Chinas Xi Jinping.","President Donald Trump has put together an exclusive group of CEOs, representing the best the U.S. has to offer, to join his key summit with Chinas Xi Jinping.",neutral,0.1039,0.8743,0.1148,0.0109,0.8743,"[{'text': 'the Elite Group', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 5, 'end': 20}, {'text': 'Joining Trump', 'label': 'PERSON', 'label_desc': 'Person', 'start': 29, 'end': 42}, {'text': 'China', 'label': 'GPE', 'label_desc': 'Country / City', 'start': 46, 'end': 51}, {'text': 'the U.S. Economy', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 63, 'end': 79}, {'text': 'Donald Trump', 'label': 'PERSON', 'label_desc': 'Person', 'start': 172, 'end': 184}, {'text': 'U.S', 'label': 'GPE', 'label_desc': 'Country / City', 'start': 256, 'end': 260}, {'text': 'Chinas Xi Jinping', 'label': 'PERSON', 'label_desc': 'Person', 'start': 303, 'end': 320}]","the Elite Group, the U.S. Economy",
AAPL,The SP 500 May Not Be Diversified Anymore,Apollo warns mega cap dominance is reshaping the market,Apollo warns mega cap dominance is reshaping the market,Yahoo,2026-05-13 10:38:04+00:00,https://finnhub.io/api/news?id=1b548dd729d6053142c12368a9d28e04ea86cf64b35268ccde84a2c3af41010a,company,The SP 500 May Not Be Diversified Anymore. The SP 500 May Not Be Diversified Anymore. Apollo warns mega cap dominance is reshaping the market,The SP 500 May Not Be Diversified Anymore. The SP 500 May Not Be Diversified Anymore. Apollo warns mega cap dominance is reshaping the market,The SP 500 May Not Be Diversified Anymore. The SP 500 May Not Be Diversified Anymore. Apollo warns mega cap dominance is reshaping the market,Apollo warns mega cap dominance is reshaping the market,negative,-0.9194,0.9369,0.0175,0.9369,0.0456,"[{'text': 'Apollo', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 86, 'end': 92}]",Apollo,
AAPL,Tech Giants Are Hiding the Holes in the Stock Markets Walls,"Tech is the standout perform in a narrowing market, with oil, trade, and inflation issues brewing on the sidelines.","Tech is the standout perform in a narrowing market, with oil, trade, and inflation issues brewing on the sidelines.",Yahoo,2026-05-13 10:35:00+00:00,https://finnhub.io/api/news?id=609c71b7a1b55fd8d8dfdee36b9948892675ca46211598be70239383353ab448,company,"Tech Giants Are Hiding the Holes in the Stock Markets Walls. Tech Giants Are Hiding the Holes in the Stock Markets Walls. Tech is the standout perform in a narrowing market, with oil, trade, and inflation issues brewing on the sidelines.","Tech Giants Are Hiding the Holes in the Stock Markets Walls. Tech Giants Are Hiding the Holes in the Stock Markets Walls. Tech is the standout perform in a narrowing market, with oil, trade, and inflation issues brewing on the sidelines.","Tech Giants Are Hiding the Holes in the Stock Markets Walls. Tech Giants Are Hiding the Holes in the Stock Markets Walls. Tech is the standout perform in a narrowing market, with oil, trade, and inflation issues brewing on the sidelines.","Tech is the standout perform in a narrowing market, with oil, trade, and inflation issues brewing on the sidelines.",neutral,-0.0418,0.8521,0.0531,0.0948,0.8521,"[{'text': 'the Stock Markets Walls', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 36, 'end': 59}]",the Stock Markets Walls,
AAPL,Is This Surging Semiconductor Stock a Buy After Its Blockbuster Deal With Nvidia?,"Corning stock has quadrupled during the past 12 months, and it probably isnt done yet.","Corning stock has quadrupled during the past 12 months, and it probably isnt done yet.",Yahoo,2026-05-13 10:30:00+00:00,https://finnhub.io/api/news?id=143edb6aeacaa10f97825a4d05ca84169688ea16c3f1fd90c6e5076ef0f14377,company,"Is This Surging Semiconductor Stock a Buy After Its Blockbuster Deal With Nvidia?. Is This Surging Semiconductor Stock a Buy After Its Blockbuster Deal With Nvidia?. Corning stock has quadrupled during the past 12 months, and it probably isnt done yet.","Is This Surging Semiconductor Stock a Buy After Its Blockbuster Deal With Nvidia?. Is This Surging Semiconductor Stock a Buy After Its Blockbuster Deal With Nvidia?. Corning stock has quadrupled during the past 12 months, and it probably isnt done yet.","Is This Surging Semiconductor Stock a Buy After Its Blockbuster Deal With Nvidia . Is This Surging Semiconductor Stock a Buy After Its Blockbuster Deal With Nvidia . Corning stock has quadrupled during the past 12 months, and it probably isnt done yet.","Corning stock has quadrupled during the past 12 months, and it probably isnt done yet.",negative,-0.3503,0.5168,0.1665,0.5168,0.3167,"[{'text': 'This Surging Semiconductor Stock', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 3, 'end': 35}, {'text': 'the past 12 months', 'label': 'DATE', 'label_desc': 'Date / Period', 'start': 202, 'end': 220}]",This Surging Semiconductor Stock,
AAPL,Update Market Chatter Nvidia Chief Executive Jensen Huang Joins Trump China Trip,Updates include details of other CEOs in the second paragraph. Nvidia NVDA Chief Executive Je,Updates include details of other CEOs in the second paragraph. Nvidia NVDA Chief Executive Je,Yahoo,2026-05-13 10:14:34+00:00,https://finnhub.io/api/news?id=bc2a6a2e3b60abece2f5849fe64a4a7c6309a2ba30cc172111938440938eb020,company,Update Market Chatter Nvidia Chief Executive Jensen Huang Joins Trump China Trip. Update Market Chatter Nvidia Chief Executive Jensen Huang Joins Trump China Trip. Updates include details of other CEOs in the second paragraph. Nvidia NVDA Chief Executive Je,Update Market Chatter Nvidia Chief Executive Jensen Huang Joins Trump China Trip. Update Market Chatter Nvidia Chief Executive Jensen Huang Joins Trump China Trip. Updates include details of other CEOs in the second paragraph. Nvidia NVDA Chief Executive Je,Update Market Chatter Nvidia Chief Executive Jensen Huang Joins Trump China Trip. Update Market Chatter Nvidia Chief Executive Jensen Huang Joins Trump China Trip. Updates include details of other CEOs in the second paragraph. Nvidia NVDA Chief Executive Je,Updates include details of other CEOs in the second paragraph. Nvidia NVDA Chief Executive Je,neutral,-0.0603,0.8991,0.0203,0.0806,0.8991,"[{'text': 'Jensen Huang', 'label': 'PERSON', 'label_desc': 'Person', 'start': 45, 'end': 57}, {'text': 'China', 'label': 'GPE', 'label_desc': 'Country / City', 'start': 70, 'end': 75}, {'text': 'Nvidia', 'label': 'GPE', 'label_desc': 'Country / City', 'start': 227, 'end': 233}, {'text': 'Executive Je', 'label': 'PERSON', 'label_desc': 'Person', 'start': 245, 'end': 257}]",,
AAPL,Samsungs Late Galaxy Launch Hands Apple A Massive Advantage,"Apple Inc. NASDAQAAPL strengthened its position in the U.S. smartphone market during the first quarter of 2026 as analysts at Counterpoint Research said delayed rival launches, stronger carrier performance, and pressure on lower-cost Android brands reshaped industry dynamics. Apple Outperformed A Weak Smartphone Market Counterpoint Research noted on Tuesday that Apples U.S. iPhone sales volume rose 1.3% year over year in the first-quarter of 2026, while the broader U.S. smartphone market dec","Apple Inc. NASDAQAAPL strengthened its position in the U.S. smartphone market during the first quarter of 2026 as analysts at Counterpoint Research said delayed rival launches, stronger carrier performance, and pressure on lower-cost Android brands reshaped industry dynamics. Apple Outperformed A Weak Smartphone Market Counterpoint Research noted on Tuesday that Apples U.S. iPhone sales volume rose 1.3% year over year in the first-quarter of 2026, while the broader U.S. smartphone market dec",Yahoo,2026-05-13 09:51:53+00:00,https://finnhub.io/api/news?id=54f7d38fc2975a5a63ef01711b0bec57c40f00c1b3813c7a5f1add8665ef4528,company,"Samsungs Late Galaxy Launch Hands Apple A Massive Advantage. Samsungs Late Galaxy Launch Hands Apple A Massive Advantage. Apple Inc. NASDAQAAPL strengthened its position in the U.S. smartphone market during the first quarter of 2026 as analysts at Counterpoint Research said delayed rival launches, stronger carrier performance, and pressure on lower-cost Android brands reshaped industry dynamics. Apple Outperformed A Weak Smartphone Market Counterpoint Research noted on Tuesday that Apples U.S. iPhone sales volume rose 1.3% year over year in the first-quarter of 2026, while the broader U.S. smartphone market dec","Samsungs Late Galaxy Launch Hands Apple A Massive Advantage. Samsungs Late Galaxy Launch Hands Apple A Massive Advantage. Apple Inc. NASDAQAAPL strengthened its position in the U.S. smartphone market during the first quarter of 2026 as analysts at Counterpoint Research said delayed rival launches, stronger carrier performance, and pressure on lower-cost Android brands reshaped industry dynamics. Apple Outperformed A Weak Smartphone Market Counterpoint Research noted on Tuesday that Apples U.S. iPhone sales volume rose 1.3% year over year in the first-quarter of 2026, while the broader U.S. smartphone market dec","Samsungs Late Galaxy Launch Hands Apple A Massive Advantage. Samsungs Late Galaxy Launch Hands Apple A Massive Advantage. Apple Inc. NASDAQAAPL strengthened its position in the U.S. smartphone market during the first quarter of 2026 as analysts at Counterpoint Research said delayed rival launches, stronger carrier performance, and pressure on lower-cost Android brands reshaped industry dynamics. Apple Outperformed A Weak Smartphone Market Counterpoint Research noted on Tuesday that Apples U.S. iPhone sales volume rose 1.3% year over year in the first-quarter of 2026, while the broader U.S. smartphone market dec","Apple Inc. NASDAQAAPL strengthened its position in the U.S. smartphone market during the first quarter of 2026 as analysts at Counterpoint Research said delayed rival launches, stronger carrier performance, and pressure on lower-cost Android brands reshaped industry dynamics. Apple Outperformed A Weak Smartphone Market Counterpoint Research noted on Tuesday that Apples U.S. iPhone sales volume rose 1.3% year over year in the first-quarter of 2026, while the broader U.S. smartphone market dec",positive,0.9244,0.9524,0.9524,0.0281,0.0195,"[{'text': 'Apple Inc', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 122, 'end': 132}, {'text': 'NASDAQAAPL', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 133, 'end': 143}, {'text': 'U.S', 'label': 'GPE', 'label_desc': 'Country / City', 'start': 177, 'end': 181}, {'text': 'the first quarter of 2026', 'label': 'DATE', 'label_desc': 'Date / Period', 'start': 207, 'end': 232}, {'text': 'Counterpoint Research', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 248, 'end': 269}, {'text': 'Android', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 356, 'end': 363}, {'text': 'Apple Outperformed A Weak Smartphone Market Counterpoint Research', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 399, 'end': 464}, {'text': 'Tuesday', 'label': 'DATE', 'label_desc': 'Date / Period', 'start': 474, 'end': 481}, {'text': '1.3%', 'label': 'PERCENT', 'label_desc': 'Percentage', 'start': 524, 'end': 528}, {'text': 'year over year', 'label': 'DATE', 'label_desc': 'Date / Period', 'start': 529, 'end': 543}, {'text': 'the first-quarter of 2026', 'label': 'DATE', 'label_desc': 'Date / Period', 'start': 547, 'end': 572}, {'text': 'dec', 'label': 'PERSON', 'label_desc': 'Person', 'start': 615, 'end': 618}]","Apple Inc, NASDAQAAPL, Counterpoint Research, Android, Apple Outperformed A Weak Smartphone Market Counterpoint Research",
AAPL,"Intel Slips Despite $80 Billion CPU Market Forecast, Apple Manufacturing Deal","Intel Corp secured a major boost to its foundry business after Apple Inc agreed to a manufacturing deal. Still, Intel shares are down during Tuesdays premarket session, trading 4.7% lower, as traders digest AI-related commentary highlighting intensifying competition in data-center...","Intel Corp secured a major boost to its foundry business after Apple Inc agreed to a manufacturing deal. Still, Intel shares are down during Tuesdays premarket session, trading 4.7% lower, as traders digest AI-related commentary highlighting intensifying competition in data-center...",Yahoo,2026-05-13 09:46:04+00:00,https://finnhub.io/api/news?id=5850036d66b954d3aecdbbf01c8c16365a6fd9569fe460d867b1a1321974c68f,company,"Intel Slips Despite $80 Billion CPU Market Forecast, Apple Manufacturing Deal. Intel Slips Despite $80 Billion CPU Market Forecast, Apple Manufacturing Deal. Intel Corp secured a major boost to its foundry business after Apple Inc agreed to a manufacturing deal. Still, Intel shares are down during Tuesdays premarket session, trading 4.7% lower, as traders digest AI-related commentary highlighting intensifying competition in data-center...","Intel Slips Despite $80 Billion CPU Market Forecast, Apple Manufacturing Deal. Intel Slips Despite $80 Billion CPU Market Forecast, Apple Manufacturing Deal. Intel Corp secured a major boost to its foundry business after Apple Inc agreed to a manufacturing deal. Still, Intel shares are down during Tuesdays premarket session, trading 4.7% lower, as traders digest AI-related commentary highlighting intensifying competition in data-center...","Intel Slips Despite $80 Billion CPU Market Forecast, Apple Manufacturing Deal. Intel Slips Despite $80 Billion CPU Market Forecast, Apple Manufacturing Deal. Intel Corp secured a major boost to its foundry business after Apple Inc agreed to a manufacturing deal. Still, Intel shares are down during Tuesdays premarket session, trading 4.7% lower, as traders digest AI-related commentary highlighting intensifying competition in data-center...","Intel Corp secured a major boost to its foundry business after Apple Inc agreed to a manufacturing deal. Still, Intel shares are down during Tuesdays premarket session, trading 4.7% lower, as traders digest AI-related commentary highlighting intensifying competition in data-center...",negative,-0.9647,0.9735,0.0088,0.9735,0.0177,"[{'text': 'Intel Slips Despite', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 0, 'end': 19}, {'text': '$80 Billion', 'label': 'MONEY', 'label_desc': 'Money Amount', 'start': 20, 'end': 31}, {'text': 'Apple Manufacturing Deal', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 53, 'end': 77}, {'text': 'Intel Slips Despite', 'label': 'PERSON', 'label_desc': 'Person', 'start': 79, 'end': 98}, {'text': 'Intel Corp', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 158, 'end': 168}, {'text': 'Apple Inc', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 221, 'end': 230}, {'text': 'Intel', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 270, 'end': 275}, {'text': 'Tuesdays', 'label': 'DATE', 'label_desc': 'Date / Period', 'start': 299, 'end': 307}, {'text': '4.7%', 'label': 'PERCENT', 'label_desc': 'Percentage', 'start': 335, 'end': 339}, {'text': 'AI', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 365, 'end': 367}]","Intel Slips Despite, Apple Manufacturing Deal, Intel Corp, Apple Inc, Intel",
AAPL,"Stock Market Today Dow Jones Futures Fall, SP 500 Gains As Trump Takes Big Tech Leaders To ChinaNvidia, Nextpower, Red Cat In Focus","U.S. stock futures were mixed on Wednesday after Mondays mostly lower close. Dow Jones futures fell, whereas SP 500 and Nasdaq 100 indices were rising. This follows President Donald Trumps visit to China along with Nvidia Corp. NASDAQNVDA CEO Jensen Huang, Tesla Inc.s NASDAQTSLA Elon Musk, Apple Inc.s NASDAQAAPL Tim Cook, BlackRock Inc.s NYSEBLK Larry Fink, and Qualcomm Inc.s NASDAQQCOM Cristiano Amon. Before leaving, Trump said on Tuesday that Americans financial struggle","U.S. stock futures were mixed on Wednesday after Mondays mostly lower close. Dow Jones futures fell, whereas SP 500 and Nasdaq 100 indices were rising. This follows President Donald Trumps visit to China along with Nvidia Corp. NASDAQNVDA CEO Jensen Huang, Tesla Inc.s NASDAQTSLA Elon Musk, Apple Inc.s NASDAQAAPL Tim Cook, BlackRock Inc.s NYSEBLK Larry Fink, and Qualcomm Inc.s NASDAQQCOM Cristiano Amon. Before leaving, Trump said on Tuesday that Americans financial struggle",Yahoo,2026-05-13 09:42:09+00:00,https://finnhub.io/api/news?id=51071c4eb65bf7dcd6911a28239e16273bf62a30ff1994b4adb870ddd0698d12,company,"Stock Market Today Dow Jones Futures Fall, SP 500 Gains As Trump Takes Big Tech Leaders To ChinaNvidia, Nextpower, Red Cat In Focus. Stock Market Today Dow Jones Futures Fall, SP 500 Gains As Trump Takes Big Tech Leaders To ChinaNvidia, Nextpower, Red Cat In Focus. U.S. stock futures were mixed on Wednesday after Mondays mostly lower close. Dow Jones futures fell, whereas SP 500 and Nasdaq 100 indices were rising. This follows President Donald Trumps visit to China along with Nvidia Corp. NASDAQNVDA CEO Jensen Huang, Tesla Inc.s NASDAQTSLA Elon Musk, Apple Inc.s NASDAQAAPL Tim Cook, BlackRock Inc.s NYSEBLK Larry Fink, and Qualcomm Inc.s NASDAQQCOM Cristiano Amon. Before leaving, Trump said on Tuesday that Americans financial struggle","Stock Market Today Dow Jones Futures Fall, SP 500 Gains As Trump Takes Big Tech Leaders To ChinaNvidia, Nextpower, Red Cat In Focus. Stock Market Today Dow Jones Futures Fall, SP 500 Gains As Trump Takes Big Tech Leaders To ChinaNvidia, Nextpower, Red Cat In Focus. U.S. stock futures were mixed on Wednesday after Mondays mostly lower close. Dow Jones futures fell, whereas SP 500 and Nasdaq 100 indices were rising. This follows President Donald Trumps visit to China along with Nvidia Corp. NASDAQNVDA CEO Jensen Huang, Tesla Inc.s NASDAQTSLA Elon Musk, Apple Inc.s NASDAQAAPL Tim Cook, BlackRock Inc.s NYSEBLK Larry Fink, and Qualcomm Inc.s NASDAQQCOM Cristiano Amon. Before leaving, Trump said on Tuesday that Americans financial struggle","Stock Market Today Dow Jones Futures Fall, SP 500 Gains As Trump Takes Big Tech Leaders To ChinaNvidia, Nextpower, Red Cat In Focus. Stock Market Today Dow Jones Futures Fall, SP 500 Gains As Trump Takes Big Tech Leaders To ChinaNvidia, Nextpower, Red Cat In Focus. U.S. stock futures were mixed on Wednesday after Mondays mostly lower close. Dow Jones futures fell, whereas SP 500 and Nasdaq 100 indices were rising. This follows President Donald Trumps visit to China along with Nvidia Corp. NASDAQNVDA CEO Jensen Huang, Tesla Inc.s NASDAQTSLA Elon Musk, Apple Inc.s NASDAQAAPL Tim Cook, BlackRock Inc.s NYSEBLK Larry Fink, and Qualcomm Inc.s NASDAQQCOM Cristiano Amon. Before leaving, Trump said on Tuesday that Americans financial struggle","U.S. stock futures were mixed on Wednesday after Mondays mostly lower close. Dow Jones futures fell, whereas SP 500 and Nasdaq 100 indices were rising. This follows President Donald Trumps visit to China along with Nvidia Corp. NASDAQNVDA CEO Jensen Huang, Tesla Inc.s NASDAQTSLA Elon Musk, Apple Inc.s NASDAQAAPL Tim Cook, BlackRock Inc.s NYSEBLK Larry Fink, and Qualcomm Inc.s NASDAQQCOM Cristiano Amon. Before leaving, Trump said on Tuesday that Americans financial struggle",negative,-0.9404,0.9549,0.0146,0.9549,0.0305,"[{'text': 'Dow Jones Futures Fall', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 19, 'end': 41}, {'text': 'ChinaNvidia', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 91, 'end': 102}, {'text': 'Nextpower', 'label': 'GPE', 'label_desc': 'Country / City', 'start': 104, 'end': 113}, {'text': 'Red Cat', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 115, 'end': 122}, {'text': 'Focus', 'label': 'GPE', 'label_desc': 'Country / City', 'start': 259, 'end': 264}, {'text': 'U.S', 'label': 'GPE', 'label_desc': 'Country / City', 'start': 266, 'end': 270}, {'text': 'Wednesday', 'label': 'DATE', 'label_desc': 'Date / Period', 'start': 299, 'end': 308}, {'text': 'Mondays', 'label': 'DATE', 'label_desc': 'Date / Period', 'start': 315, 'end': 322}, {'text': 'Dow Jones', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 343, 'end': 352}, {'text': 'SP 500', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 375, 'end': 381}, {'text': 'Donald Trumps', 'label': 'PERSON', 'label_desc': 'Person', 'start': 441, 'end': 454}, {'text': 'China', 'label': 'GPE', 'label_desc': 'Country / City', 'start': 464, 'end': 469}, {'text': 'Nvidia Corp', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 481, 'end': 493}, {'text': 'Jensen Huang', 'label': 'PERSON', 'label_desc': 'Person', 'start': 509, 'end': 521}, {'text': 'Apple Inc.s NASDAQAAPL Tim Cook', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 557, 'end': 588}, {'text': 'BlackRock Inc.s NYSEBLK Larry Fink', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 590, 'end': 624}, {'text': 'Trump', 'label': 'ORG', 'label_desc': 'Company / Organization', 'start': 688, 'end': 693}, {'text': 'Tuesday', 'label': 'DATE', 'label_desc': 'Date / Period', 'start': 702, 'end': 709}]","Dow Jones Futures Fall, ChinaNvidia, Red Cat, Dow Jones, SP 500",
